id,orf1,orf2,orf3
MT371769,0-5082,5062-6685,6684-7461
MT367328,2-5096,5076-6699,6698-7505
MT344182,1-5104,5084-6707,6706-7486
MT344181,0-5103,5083-6706,6705-7485
MT344180,0-5094,5074-6697,6696-7503
MT344179,1-5056,5036-6659,6658-7465
MT238672,2-5096,5076-6699,6698-7505
MT238671,4-5104,5084-6707,6706-7513
MT238670,2-5096,5076-6699,6698-7505
MT238669,0-5091,5071-6694,6693-7473
MT238668,2-5093,5073-6696,6695-7502
MT238667,2-5090,5070-6693,6692-7499
MT238666,1-5092,5072-6695,6694-7501
MT238665,1-5101,5081-6704,6703-7483
MT238664,0-5100,5080-6703,6702-7482
MT238663,2-5099,5079-6702,6701-7481
MT089580,0-5394,5377-7015,7014-7662
MT089579,4-5404,5387-7025,7024-7672
MT089578,2-5393,5376-7014,7013-7661
MN567957,0-5067,5050-6694,6693-7044
MT372477,4-5371,5354-6977,6976-7606
MT372476,94-5404,5387-7019,7018-7660
MT372475,94-5398,5381-7034,7033-7681
MT372474,94-5398,5381-7034,7033-7681
MT372470,94-5404,5387-7019,7018-7666
MT372469,94-5401,5384-7001,7000-7648
MT372468,94-5404,5387-7019,7018-7666
MT372467,94-5410,5393-7028,7027-7675
MT372466,94-5410,5393-7028,7027-7675
MT372465,4-5371,5354-6995,6994-7630
MT372464,4-5371,5354-6995,6994-7630
MT372463,94-5404,5387-7019,7018-7666
MT372462,94-5401,5384-7001,7000-7648
MT357996,4-5371,5354-6977,6976-7606
MT357995,4-5371,5354-6977,6976-7606
MT357994,4-5401,5384-7004,7003-7651
MT357993,4-5374,5357-6950,6949-7588
MT357992,4-5374,5357-6950,6949-7588
MT357991,4-5374,5357-6950,6949-7588
MT357898,0-5397,5380-7000,6999-7647
MT357897,0-5388,5371-6991,6990-7638
MT357899,0-5397,5380-6997,6996-7644
KY210980,0-5100,5080-6703,6702-7509
MK907801,2-5108,5088-6711,6710-7490
MK907800,0-5100,5080-6703,6702-7482
KY210920,4-5101,5081-6710,6709-7441
MN782359,2-5066,5046-6669,6668-7475
MK648242,2-5111,5091-6714,6713-7418
MK648241,4-5113,5093-6716,6715-7420
MK648240,4-5104,5084-6713,6712-7417
MK648239,4-5104,5084-6713,6712-7417
MK648238,4-5104,5084-6713,6712-7417
MK648237,4-5104,5084-6713,6712-7419
MN960578,2-5099,5079-6702,6701-7481
NC_045762,10-5251,5234-6971,6970-7735
MT032004,4-5104,5084-6707,6706-7513
MT031988,4-5404,5387-7025,7024-7672
MT031821,4-5104,5084-6707,6706-7513
MT031761,4-5104,5084-6707,6706-7513
MT029316,4-5104,5084-6707,6706-7513
MT028542,4-5104,5084-6707,6706-7513
MT026582,4-5104,5084-6707,6706-7510
MK928499,4-5104,5084-6707,6706-7513
MK928498,4-5104,5084-6707,6706-7513
MK928497,4-5104,5084-6707,6706-7513
MK928496,4-5104,5084-6707,6706-7513
MN703761,4-5104,5084-6707,6706-7468
MN938461,0-5358,5341-6976,6975-7602
MN938460,0-5358,5341-6976,6975-7602
MN400355,4-5104,5084-6707,6706-7510
MN897756,4-5104,5084-6707,6706-7513
MN897755,4-5104,5084-6707,6706-7513
MN897754,4-5104,5084-6707,6706-7513
MN416946,0-4938,4918-6562,6561-7260
MN416764,1-5062,5045-6686,6685-7321
MK762724,1-4684,4664-6287,6286-7090
MK762722,1-4915,4895-6518,6517-7168
MK762719,0-4689,4669-6292,6291-7092
MK762573,0-5205,5188-6820,6819-7461
MK733207,2-5060,5040-6672,6671-7436
MK733206,2-5060,5040-6672,6671-7436
MK733204,1-4897,4877-6509,6508-7273
MK733203,0-4896,4876-6508,6507-7272
MK733202,1-4903,4883-6515,6514-7279
MK733201,2-5060,5040-6648,6647-7427
MH638230,4-5113,5093-6716,6715-7486
MH608288,4-5113,5093-6716,6715-7488
LC509011,2-4640,4623-6267,6266-7031
MN853414,4-5113,5093-6716,6715-7495
MK956178,0-5121,5104-6745,6744-7380
MK956177,1-5293,5276-6911,6910-7534
MK956175,2-5288,5271-6864,6863-7361
MK956174,1-5119,5102-6695,6694-7171
MK956173,0-5007,4990-6583,6582-7134
MK907799,0-4899,4879-6502,6501-7308
MK907798,2-5099,5079-6726,6725-7478
MK907796,1-5092,5072-6695,6694-7501
MK907790,0-4902,4882-6499,6498-7278
MK907789,1-5059,5039-6683,6682-7429
MK907787,0-4899,4879-6526,6525-7218
MK907786,1-5062,5042-6686,6685-7420
MK907785,1-5038,5018-6641,6640-7447
MK789656,1-5320,5303-6926,6925-7555
MK789655,1-5347,5330-6953,6952-7582
MK789654,1-5356,5339-6977,6976-7624
NC_044856,4-5404,5387-7028,7027-7678
NC_044855,3-5061,5041-6706,6705-7419
NC_044854,4-5371,5354-6977,6976-7606
NC_044853,0-5358,5341-6964,6963-7593
LC369258,1-5056,5036-6659,6658-7438
LC369257,2-5108,5088-6711,6710-7490
LC369256,0-5103,5083-6706,6705-7485
LC369255,0-5103,5083-6706,6705-7485
LC369254,4-5113,5093-6716,6715-7495
LC369253,1-5098,5078-6701,6700-7480
LC369252,1-5098,5078-6701,6700-7480
LC369251,1-5098,5078-6695,6694-7474
LC369249,1-5101,5081-6704,6703-7483
LC369248,2-5099,5079-6702,6701-7481
LC369247,2-5099,5079-6702,6701-7481
LC369246,2-5099,5079-6702,6701-7481
LC369245,2-5108,5088-6711,6710-7490
LC369244,4-5113,5093-6716,6715-7495
LC369243,1-5101,5081-6704,6703-7483
LC369242,2-5108,5088-6711,6710-7490
LC369241,4-5107,5087-6710,6709-7489
LC369240,1-5101,5081-6704,6703-7483
LC369239,2-5099,5079-6702,6701-7481
LC369238,1-5107,5087-6710,6709-7489
LC369237,2-5108,5088-6711,6710-7490
LC369236,4-5113,5093-6716,6715-7495
LC369235,2-5105,5085-6708,6707-7487
LC369234,2-5105,5085-6708,6707-7487
LC369233,0-5103,5083-6706,6705-7485
LC369232,0-5103,5083-6706,6705-7485
LC369231,0-5103,5083-6706,6705-7485
LC369230,0-5103,5083-6706,6705-7485
LC369229,0-5103,5083-6706,6705-7485
LC369228,0-5103,5083-6706,6705-7485
LC369227,0-5103,5083-6706,6705-7485
LC369225,1-5101,5081-6704,6703-7483
LC369224,1-5101,5081-6704,6703-7483
LC369222,1-5101,5081-6704,6703-7483
LC369221,2-5099,5079-6702,6701-7481
LC369220,2-5099,5079-6702,6701-7481
LC369219,4-5113,5093-6716,6715-7495
LC369218,2-5105,5085-6708,6707-7487
LC369217,1-5098,5078-6701,6700-7480
LC369216,1-5098,5078-6701,6700-7480
LC369215,2-5108,5088-6711,6710-7490
LC369214,4-5113,5093-6716,6715-7495
MN525276,4-5104,5084-6707,6706-7513
MN525275,0-5100,5080-6703,6702-7509
NC_044932,4-5095,5075-6704,6703-7468
MN462922,4-5101,5081-6749,6748-7471
MN473468,4-5101,5081-6749,6748-7477
MN493873,2-5102,5082-6711,6710-7490
MN480761,21-5076,5062-6631,6620-7271
MK733205,1-4891,4871-6503,6502-7267
MN453359,4-5095,5075-6704,6703-7468
MN453358,4-5095,5075-6707,6706-7471
MN448477,94-5404,5387-7025,7024-7672
MN447471,4-5098,5078-6701,6700-7498
MN447470,4-5098,5078-6701,6700-7498
MN122335,21-5076,5062-6631,6620-7271
MN394546,0-5079,5059-6682,6681-7428
MN394545,0-5094,5074-6703,6702-7434
MN394544,0-5067,5047-6676,6675-7455
MN394543,0-5094,5074-6703,6702-7434
MN394542,0-5100,5080-6709,6708-7488
MN308023,2-5060,5040-6663,6662-7469
MN308022,0-5097,5077-6700,6699-7506
MN308021,0-5097,5077-6700,6699-7506
MN308020,0-5103,5083-6706,6705-7512
MN308019,0-5103,5083-6706,6705-7512
MN308018,0-5103,5083-6706,6705-7512
MN308017,0-5103,5083-6706,6705-7512
MN308016,0-5097,5077-6700,6699-7506
MN308015,0-5103,5083-6706,6705-7512
MN308014,0-5103,5083-6706,6705-7512
MN308013,2-5018,4998-6621,6620-7427
MN308012,0-5103,5083-6706,6705-7512
MN308011,2-4994,4974-6597,6596-7403
MN308010,0-5103,5083-6706,6705-7512
MN308009,0-5097,5077-6700,6699-7506
MN308008,0-5103,5083-6706,6705-7512
MN308007,2-5096,5076-6699,6698-7505
MN308006,2-5096,5076-6699,6698-7505
MN308005,2-4994,4974-6597,6596-7403
MN308004,0-5097,5077-6700,6699-7506
MN308003,0-5103,5083-6706,6705-7512
MN308002,0-5103,5083-6706,6705-7512
MN308001,0-5103,5083-6706,6705-7512
MN308000,0-5097,5077-6700,6699-7506
MN307999,0-5103,5083-6706,6705-7512
MN307998,0-5103,5083-6706,6705-7512
MN307997,0-5103,5083-6706,6705-7512
MN307996,0-5103,5083-6706,6705-7512
MN307995,0-5103,5083-6706,6705-7512
MN307994,1-5101,5081-6704,6703-7510
MN307993,0-5103,5083-6706,6705-7512
NC_040876,4-5098,5078-6722,6721-7498
NC_039477,4-5104,5084-6707,6706-7513
MH671553,4-5104,5084-6713,6712-7492
NC_044047,4-5080,5060-6647,6646-7486
NC_039475,4-5113,5093-6716,6715-7495
NC_029647,4-5068,5048-6719,6718-7447
NC_029645,21-5076,5062-6631,6620-7271
MN248518,0-5100,5080-6703,6702-7509
MN248517,0-5094,5074-6718,6717-7494
MN248516,0-5094,5074-6718,6717-7494
MN248515,0-5094,5074-6718,6717-7494
MN248514,0-5094,5074-6718,6717-7494
MN248513,0-5100,5080-6703,6702-7509
MN227777,3-5100,5080-6748,6747-7479
MN227776,3-5100,5080-6748,6747-7479
MN227775,3-5100,5080-6748,6747-7479
MN227774,0-5097,5077-6745,6744-7476
MN227773,1-5098,5078-6746,6745-7477
MN227772,4-5101,5081-6749,6748-7480
MN227771,3-5100,5080-6748,6747-7479
MN227770,4-5101,5081-6749,6748-7480
KF944111,3-5100,5080-6727,6726-7491
KF944110,3-5100,5080-6727,6726-7491
NC_044046,4-5086,5069-6737,6736-7465
NC_044045,4-5101,5081-6749,6748-7480
MN226991,3-5370,5353-6976,6975-7605
MK355713,0-5094,5074-6682,6681-7404
MK355712,0-5094,5074-6682,6681-7406
NC_039897,4-5404,5387-7025,7024-7672
MN199033,1-5101,5081-6728,6727-7492
MH638229,1-5356,5339-6932,6931-7570
MH638228,0-5364,5347-6940,6939-7578
NC_031324,65-5375,5358-6990,6989-7637
MN038126,2-5039,5019-6642,6641-7373
MG674720,4-5098,5078-6722,6721-7495
MK934772,4-5104,5084-6707,6706-7513
MG892953,4-5104,5084-6731,6730-7495
MG892946,4-5104,5084-6731,6730-7495
MK614137,0-5100,5080-6709,6708-7488
MK614136,0-5100,5080-6709,6708-7488
MK614135,0-5100,5080-6709,6708-7488
MK614134,0-5100,5080-6709,6708-7488
MK614133,0-5100,5080-6709,6708-7488
MK614132,0-5100,5080-6709,6708-7488
MK614131,0-5100,5080-6709,6708-7488
MK614130,0-5100,5080-6709,6708-7488
MK614129,0-5100,5080-6709,6708-7488
MK614128,0-5100,5080-6709,6708-7488
MK614127,0-5100,5080-6709,6708-7488
MK614126,0-5100,5080-6709,6708-7488
MK614125,0-5100,5080-6709,6708-7488
MK614124,0-5100,5080-6709,6708-7488
MG892974,0-5100,5080-6709,6708-7488
MG892929,4-5104,5084-6707,6706-7513
MK483909,2-5102,5082-6705,6704-7511
MK483908,4-5104,5084-6692,6691-7471
MG892908,4-5104,5084-6713,6712-7444
GU292831,4-5098,5078-6701,6700-7498
HM596590,4-5101,5081-6704,6703-7480
KF920739,4-5101,5081-6704,6703-7501
MK789436,2-5090,5070-6693,6692-7499
MK789435,4-5104,5084-6707,6706-7513
MK789434,2-5093,5073-6696,6695-7502
MK789433,2-5099,5079-6702,6701-7481
MK789432,4-5113,5093-6716,6715-7495
MK789431,0-5097,5077-6700,6699-7479
MK789430,0-5094,5074-6703,6702-7482
MK775032,3-5103,5083-6706,6705-7512
MK775031,0-5040,5020-6649,6648-7380
MK775030,2-5099,5079-6708,6707-7478
MK775029,3-5103,5083-6712,6711-7491
MK775028,1-4885,4865-6494,6493-7237
MK773587,4-5104,5084-6713,6712-7492
MK773586,2-5102,5082-6705,6704-7505
MK773585,1-5101,5081-6704,6703-7510
MK773584,4-5104,5084-6707,6706-7513
MK773583,2-5102,5082-6711,6710-7478
MK773582,0-4968,4948-6577,6576-7344
MK773581,1-5008,4988-6617,6616-7384
MK773580,0-5010,4990-6619,6618-7368
MK773571,0-5028,5008-6637,6636-7410
MK764043,0-5028,5008-6637,6636-7407
MK764042,0-5097,5077-6706,6705-7485
MK764041,4-5104,5084-6692,6691-7471
MK764040,4-5101,5081-6710,6709-7489
MK764039,3-5103,5083-6712,6711-7491
MK764022,1-5101,5081-6710,6709-7489
MK764021,4-5104,5084-6707,6706-7513
MK764020,0-5049,5029-6676,6675-7440
MK764019,0-5055,5035-6658,6657-7464
MK764018,2-4997,4977-6600,6599-7406
MK764017,3-5103,5083-6712,6711-7482
MK764016,4-5104,5084-6707,6706-7513
MK764015,3-5103,5083-6706,6705-7512
MK764014,2-5099,5079-6708,6707-7439
MK764013,3-5103,5083-6706,6705-7512
MK762746,3-5103,5083-6706,6705-7512
MK762745,3-5100,5080-6709,6708-7440
MK762641,2-4997,4977-6606,6605-7379
MK762640,3-5100,5080-6727,6726-7461
MK762639,0-5100,5080-6703,6702-7503
MK762638,4-5104,5084-6707,6706-7513
MK762637,2-5102,5082-6705,6704-7511
MK762636,4-5104,5084-6707,6706-7513
MK762635,4-5104,5084-6707,6706-7513
MK762634,0-5058,5038-6667,6666-7419
MK762633,4-5104,5084-6713,6712-7492
MK762632,4-5101,5081-6704,6703-7510
MK762631,0-5091,5071-6700,6699-7479
MK762630,0-5052,5032-6655,6654-7461
MK762629,3-5103,5083-6706,6705-7512
MK762628,1-5098,5078-6707,6706-7480
MK762627,3-5103,5083-6691,6690-7470
MK762626,4-5104,5084-6713,6712-7492
MK762625,4-5104,5084-6713,6712-7489
MK762624,4-5104,5084-6707,6706-7513
MK762623,1-5089,5069-6692,6691-7498
MK762622,1-5092,5072-6695,6694-7501
MK762621,4-5104,5084-6707,6706-7513
MK762570,0-5094,5074-6697,6696-7503
MK762569,0-5100,5080-6703,6702-7497
MK762568,0-5100,5080-6703,6702-7509
MK762567,0-5049,5029-6652,6651-7458
MK762566,0-5100,5080-6703,6702-7509
MK762565,0-5073,5053-6682,6681-7413
MK762564,0-5100,5080-6703,6702-7509
MK762563,0-5076,5056-6679,6678-7485
MK762562,0-4932,4912-6535,6534-7341
MK762561,0-4890,4870-6493,6492-7296
MK762560,0-5097,5077-6706,6705-7437
MK762559,0-5043,5023-6652,6651-7383
MK762558,0-5100,5080-6703,6702-7509
MK756038,1-5092,5072-6695,6694-7501
MK756037,2-4997,4977-6600,6599-7406
MK756036,1-5098,5078-6701,6700-7507
MK756035,2-5102,5082-6705,6704-7511
MK756034,4-5104,5084-6707,6706-7513
MK756033,2-5096,5076-6699,6698-7505
MK754447,4-5104,5084-6692,6691-7471
MK754446,1-5083,5063-6686,6685-7486
MK754445,0-5100,5080-6688,6687-7467
MK754444,1-5101,5081-6704,6703-7477
MK754443,3-5100,5080-6709,6708-7440
MK754442,3-5103,5083-6706,6705-7512
MK753036,4-5104,5084-6692,6691-7471
MK753035,2-5102,5082-6711,6710-7490
MK753034,4-5104,5084-6692,6691-7465
MK753033,0-5100,5080-6688,6687-7461
MK753032,4-5104,5084-6707,6706-7513
MK753031,0-4875,4855-6484,6483-7239
MK753030,2-5099,5079-6702,6701-7508
MK753029,2-4736,4716-6339,6338-7145
MK753028,2-5099,5079-6702,6701-7508
MK753021,0-5028,5008-6637,6636-7389
MK753020,2-5066,5046-6675,6674-7409
MK753018,1-5053,5033-6656,6655-7462
MK753017,2-5054,5034-6657,6656-7463
MK753016,3-5103,5083-6712,6711-7491
MK753015,4-5104,5084-6713,6712-7492
MK753014,2-4925,4905-6534,6533-7271
MK753013,0-5049,5029-6658,6657-7437
MK753012,3-5103,5083-6712,6711-7491
MK753011,0-4932,4912-6541,6540-7290
MK753010,3-5100,5080-6709,6708-7440
MK753009,3-5100,5080-6709,6708-7440
MK753008,2-5099,5079-6708,6707-7439
MK753007,1-5101,5081-6710,6709-7489
MK752949,0-5004,4984-6613,6612-7371
MK752948,0-5052,5032-6655,6654-7455
MK752947,3-5100,5080-6709,6708-7440
MK752946,3-5100,5080-6709,6708-7440
MK752945,0-5094,5074-6703,6702-7482
MK752944,0-5052,5032-6661,6660-7434
MK752943,2-5102,5082-6705,6704-7508
MK752942,3-5103,5083-6706,6705-7512
MK752941,1-5101,5081-6710,6709-7489
MK752940,2-5099,5079-6708,6707-7478
MK752939,3-5103,5083-6712,6711-7491
MK752938,4-5104,5084-6707,6706-7513
MK752937,3-5103,5083-6706,6705-7512
MK752936,4-5104,5084-6707,6706-7513
MK752935,4-5104,5084-6713,6712-7492
MK752934,0-5100,5080-6703,6702-7509
MK752933,0-5010,4990-6613,6612-7413
MH041322,0-5100,5080-6709,6708-7488
MH041321,0-5100,5080-6709,6708-7488
MK588004,0-5085,5065-6676,6675-7470
MK729086,4-5104,5084-6713,6712-7492
MK301293,0-5088,5068-6712,6711-7491
LC342059,10-5104,5084-6692,6691-7471
LC342058,0-5358,5341-6964,6963-7593
LC342057,0-5358,5341-6964,6963-7593
MK641589,4-5098,5078-6689,6688-7483
AB081723,4-5371,5354-6977,6976-7606
MK629457,4-5104,5084-6707,6706-7513
MK616585,0-5082,5062-6670,6669-7443
MK616584,0-5064,5044-6652,6651-7425
MK616561,0-5052,5032-6640,6639-7419
MK616560,0-5037,5017-6625,6624-7404
MK616559,0-5052,5032-6640,6639-7419
MK616558,0-5052,5032-6640,6639-7419
MK590974,2-5099,5079-6708,6707-7487
MK590973,2-5057,5037-6666,6665-7445
MK590972,2-4952,4932-6561,6560-7340
MK067295,0-5208,5191-6940,6939-7734
MK067294,0-5196,5179-6925,6924-7764
MK067293,0-5196,5179-6925,6924-7764
MK067292,0-5196,5179-6925,6924-7764
MK067291,0-5214,5197-6934,6933-7716
MK067290,0-5214,5197-6934,6933-7716
MK067289,0-5214,5197-6934,6933-7716
MK067288,0-5214,5197-6934,6933-7716
MF421542,0-5109,5089-6712,6711-7491
MF421541,0-5109,5089-6712,6711-7491
MF421540,0-5109,5089-6712,6711-7491
MF421539,0-5109,5089-6712,6711-7491
MF421538,0-5109,5089-6712,6711-7491
MK073894,0-5100,5080-6703,6702-7497
MK073893,81-5397,5380-7015,7014-7662
MK073892,90-5406,5389-7024,7023-7671
MK073891,0-5100,5080-6703,6702-7509
MK073890,0-5040,5020-6643,6642-7449
MK073889,0-5013,4993-6616,6615-7422
MK073888,0-5076,5056-6679,6678-7485
MK073887,88-5404,5387-7022,7021-7669
MK073886,3-5103,5083-6730,6729-7494
MK073885,4-5104,5084-6707,6706-7513
MK236611,1-5359,5342-6965,6964-7594
MK236610,2-5351,5334-6957,6956-7586
MK236609,1-5359,5342-6965,6964-7594
MK236608,2-5324,5307-6930,6929-7559
MK282258,4-5113,5093-6710,6709-7489
MK282257,4-5113,5093-6710,6709-7489
MK282256,4-5113,5093-6710,6709-7489
MK340748,0-5094,5074-6703,6702-7473
KT779557,4-5101,5081-6728,6727-7492
KF895841,3-5100,5080-6727,6726-7491
MH890539,4-5113,5093-6716,6715-7474
MH890538,4-5113,5093-6716,6715-7486
MH747482,4-5113,5093-6716,6715-7476
MH747481,4-5113,5093-6716,6715-7488
MH747480,4-5113,5093-6716,6715-7485
MH747479,4-5113,5093-6716,6715-7486
MH746925,4-5113,5093-6716,6715-7488
MH746924,4-5113,5093-6716,6715-7488
MH746923,4-5113,5093-6716,6715-7488
MH746922,4-5113,5093-6716,6715-7486
MH702288,1-5035,5015-6659,6658-7264
MH702286,4-5098,5078-6722,6721-7423	
MH702285,2-5015,4995-6618,6617-7325
MH702284,0-5085,5065-6709,6708-7440
MH702283,2-5087,5067-6696,6695-7001
MH702282,0-5100,5080-6703,6702-7407
MH702281,2-5015,4995-6618,6617-7100
MH702278,2-5015,4995-6618,6617-7101
MH702277,2-4796,4776-6405,6404-7136
MH702276,1-4948,4928-6557,6556-7288
MH702275,1-4690,4670-6293,6292-7099
MH702274,2-4604,4584-6207,6206-7013
MH702273,1-4948,4928-6551,6550-7357
MH702272,0-5055,5035-6658,6657-7458
MH702271,0-5037,5017-6640,6639-7446
MH702270,0-5100,5080-6703,6702-7509
MH702269,0-5100,5080-6703,6702-7509
MH702268,4-5104,5084-6707,6706-7054
MH702267,0-5004,4984-6631,6630-7380
MH702265,2-4895,4875-6504,6503-7220
MH702263,0-5028,5008-6637,6636-7368
MH702259,2-4796,4776-6423,6422-7124
MH702258,0-4821,4801-6424,6423-7230
MG733287,0-5037,5017-6640,6639-7413
MG733286,2-5024,5004-6627,6626-7433
MG733285,1-5062,5042-6665,6664-7450
MG733284,2-5027,5007-6630,6629-7436
MK159169,21-5076,5062-6637,6626-7265
MG692610,4-5113,5093-6716,6715-7495
MG548737,4-5104,5084-6707,6706-7513
MH979230,4-5107,5087-6710,6709-7516
MH979229,4-5104,5084-6713,6712-7492
NC_029646,4-5104,5084-6692,6691-7471
NC_039476,4-5104,5084-6713,6712-7492
MH997861,1-5095,5075-6698,6697-7477
LC421228,1-5080,5066-6683,6682-7399
LC421227,0-5049,5035-6652,6651-7386
MH791994,2-5099,5079-6702,6701-7508
MH791993,0-4977,4957-6601,6600-7362
MG557654,0-4920,4900-6544,6543-7236
MG557652,0-4917,5467-6571,6627-7107
MG557651,13-5410,5393-7013,7012-7351
MG557650,0-5331,5314-6952,6951-7425
MG557648,0-5133,5116-6685,7017-7341
KY486271,0-5094,5074-6697,6696-7503
KX268709,2-5090,5070-6714,6713-7490
KT152148,5-5105,5085-6708,6707-7514
NC_008311,5-5069,5055-6681,6680-7307
NC_001959,4-5374,5357-6950,6949-7588
MH608287,1-4831,4811-6440,6439-7171
MH608286,4-5404,5387-7025,7024-7672
MH608285,1-4738,4718-6326,6325-7099
MF802554,4-5140,5120-6743,6742-7237
MF802553,4-5140,5120-6743,6742-7238
MF802552,4-5140,5120-6743,6742-7238
MF802551,4-5104,5084-6713,6712-7390
MF802550,4-5098,5078-6722,6721-7435
MG786781,2-5090,5070-6693,6692-7499
MG601447,4-5104,5084-6731,6730-7495
MG601446,4-5104,5084-6731,6730-7495
AB044366,4-5104,5084-6692,6691-7471
MH279825,2-5093,5073-6696,6695-7502
MH279824,1-5032,5012-6656,6655-7363
MH279823,0-5094,5074-6697,6696-7401
LC389583,10-5251,5234-6971,6970-7735
MH321825,4-5104,5084-6713,6712-7492
MH443711,2-5195,5178-6810,6809-7448
MG571778,4-5098,5078-6722,6721-7468
MH260512,4-5104,5084-6707,6706-7456
MH260511,4-5098,5078-6731,6730-7441
MH260510,0-4962,4942-6586,6585-7191
MH260509,0-5028,5008-6637,6636-7416
MH260508,2-5099,5079-6702,6701-7508
MH260507,4-5104,5084-6707,6706-7513
MH260506,2-5099,5079-6702,6701-7508
MH260505,2-4985,4965-6588,6587-7190
MH260504,4-5104,5084-6707,6706-7513
MH260503,0-4875,4855-6478,6477-7284
MH260502,4-5104,5084-6707,6706-7513
MH260501,2-5099,5079-6708,6707-7487
MH260500,2-5099,5079-6708,6707-7487
MH260499,4-5104,5084-6707,6706-7480
MH260498,4-5104,5084-6707,6706-7509
MH260497,4-5104,5084-6707,6706-7433
MH260496,1-5077,5057-6680,6679-7447
MH260495,0-5100,5080-6703,6702-7491
MH260494,1-5068,5048-6695,6694-7459
MH260493,2-5099,5079-6708,6707-7487
MH260492,4-5104,5084-6707,6706-7513
MH260491,2-5063,5043-6666,6665-7472
MH260490,4-5104,5084-6707,6706-7513
MH260489,4-5104,5084-6707,6706-7476
MH260488,4-5104,5084-6707,6706-7513
MH260487,1-5032,5012-6656,6655-7354
MH260486,0-5022,5002-6625,6624-7431
MH260485,4-5104,5084-6707,6706-7513
MH260484,4-5104,5084-6707,6706-7513
MH260483,4-5104,5084-6707,6706-7513
MH260482,4-5104,5084-6707,6706-7327
MH260481,0-5022,5002-6625,6624-7431
MH260480,4-5104,5084-6707,6706-7492
MH260479,4-5104,5084-6707,6706-7494
MH260478,2-5012,4992-6621,6620-7343
LC258403,0-5088,5068-6691,6690-7419
MH188080,0-4692,4672-6295,6294-7044
MH218738,4-5104,5084-6731,6730-7495
MH218737,4-5104,5084-6713,6712-7492
MH218736,4-5104,5084-6713,6712-7492
MH218735,4-5104,5084-6713,6712-7492
MH218734,4-5104,5084-6713,6712-7492
MH218733,4-5104,5084-6713,6712-7492
MH218732,4-5104,5084-6731,6730-7495
MH218731,4-5110,5090-6698,6697-7471
MH218730,4-5404,5387-7025,7024-7672
MH218729,4-5404,5387-7025,7024-7672
MH218728,4-5404,5387-7025,7024-7672
MH218727,4-5404,5387-7025,7024-7672
MH218726,4-5404,5387-7025,7024-7672
MH218725,4-5404,5387-7025,7024-7672
MH218724,4-5404,5387-7025,7024-7672
MH218723,4-5404,5387-7025,7024-7672
